War or Conflict,Time period,Branch of Service,Number Serving,Total Deaths,Battle Deaths,Other Deaths
Civil War,1861-1865,Army,2128948,359538,138154,221274
,,Navy,84415,4523,2112,2411
,,Marines,,450,148,312
World War ii,1941-1946,Army,11260000,318274,234874,83400
,,Navy,4183466,62614,36950,25664
,,Marines,669100,24511,19733,4778
World War I,1917-1918,Army,4057101,106378,50510,55868
,,Navy,599051,7287,431,6856
,,Marines,78839,851,2461,390
Korean War,1950-1953,Army,2834000,29856,27731,77596
,,Navy,1177000,657,503,1576
,,Marines,424000,4509,4267,23744
,,Air Force,1285000,1552,1238,368
Vietnam War,1964-1973,Army,4368000,38224,30963,7261
,,Navy,1842000,2566,1631,935
,,Marines,794000,14844,13095,1749
,,Air Force,1740000,2586,1745,841
